mode,turn,key,expected,answer,correct,input_tokens,output_tokens,duration_ms,provider,model,error
baseline_full,43,key_00127,value_169403,value_169403,1,3739,32,3925.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,44,key_00127,value_169403,value_169403,1,378,8,3435.0,openai-codex,gpt-5.3-codex,
baseline_full,45,key_00070,value_479201,value_479201,1,7266,19,3946.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,46,key_00070,value_479201,value_479201,1,321,36,6750.0,openai-codex,gpt-5.3-codex,
baseline_full,47,key_00049,value_197251,value_479201,0,158277,64,15800.0,openai,gpt-5.1-codex,
hybrid_memctx,48,key_00049,value_197251,value_197251,1,447,42,6195.0,openai-codex,gpt-5.3-codex,
baseline_full,49,key_00216,value_439902,value_439902,1,3623,23,3821.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,50,key_00216,value_439902,value_439902,1,390,19,5167.0,openai-codex,gpt-5.3-codex,
baseline_full,51,key_00192,value_857168,value_857168,1,3566,8,3421.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,52,key_00192,value_857168,value_857168,1,333,8,3952.0,openai-codex,gpt-5.3-codex,
baseline_full,53,key_00167,value_166613,value_166613,1,3509,8,5260.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,54,key_00167,value_166613,value_166613,1,404,23,3609.0,openai-codex,gpt-5.3-codex,
baseline_full,55,key_00183,value_905934,value_905934,1,3580,8,3791.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,56,key_00183,value_905934,value_905934,1,347,8,3474.0,openai-codex,gpt-5.3-codex,
baseline_full,57,key_00137,value_581141,value_581141,1,3523,31,5409.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,58,key_00137,value_581141,value_581141,1,418,27,4239.0,openai-codex,gpt-5.3-codex,
baseline_full,59,key_00204,value_632323,value_632323,1,3594,8,4438.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,60,key_00204,value_632323,value_632323,1,361,8,5534.0,openai-codex,gpt-5.3-codex,
